iter	Passed	Remaining
0	1	132
1	2	120
2	3	114
3	4	106
4	5	106
5	6	104
6	8	107
7	9	107
8	10	107
9	11	105
10	12	103
11	13	102
12	15	100
13	16	99
14	17	97
15	18	95
16	19	94
17	20	93
18	21	92
19	22	91
20	23	90
21	25	88
22	26	87
23	27	86
24	28	84
25	29	83
26	30	82
27	31	81
28	32	80
29	33	78
30	34	77
31	36	76
32	37	75
33	38	75
34	40	74
35	41	73
36	42	73
37	44	72
38	45	70
39	46	70
40	48	69
41	48	67
42	49	65
43	50	64
44	51	63
45	52	62
46	54	60
47	55	59
48	56	58
49	57	57
50	58	56
51	59	54
52	60	53
53	61	52
54	62	51
55	63	50
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	70	43
62	71	42
63	72	40
64	74	39
65	75	38
66	76	37
67	77	36
68	78	35
69	79	34
70	81	33
71	82	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	24
78	89	23
79	90	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	9
92	104	7
93	106	6
94	108	5
95	109	4
96	110	3
97	111	2
98	112	1
99	113	0
