iter	Passed	Remaining
0	147	147577
1	149	74568
2	152	50569
3	153	38251
4	155	30850
5	156	25919
6	157	22394
7	159	19725
8	160	17643
9	161	15981
10	162	14615
11	165	13597
12	166	12661
13	168	11832
14	169	11109
15	170	10481
16	171	9925
17	172	9427
18	174	8986
19	175	8587
20	176	8224
21	177	7905
22	180	7651
23	181	7375
24	182	7117
25	183	6884
26	185	6668
27	186	6465
28	187	6276
29	188	6100
30	189	5935
31	191	5779
32	193	5664
33	195	5540
34	196	5408
35	197	5293
36	198	5178
37	200	5069
38	201	4962
39	202	4861
40	203	4768
41	205	4679
42	206	4601
43	208	4526
44	209	4449
45	210	4374
46	212	4305
47	214	4250
48	215	4182
49	216	4116
50	217	4052
51	218	3990
52	220	3931
53	222	3901
54	223	3845
55	224	3792
56	226	3740
57	227	3690
58	228	3641
59	229	3594
60	230	3549
61	232	3513
62	234	3481
63	236	3454
64	237	3418
65	239	3388
66	241	3361
67	242	3328
68	244	3298
69	245	3266
70	247	3234
71	248	3207
72	253	3217
73	258	3239
74	260	3210
75	261	3184
76	263	3162
77	265	3135
78	267	3118
79	268	3090
80	270	3063
81	271	3038
82	272	3012
83	274	2991
84	275	2966
85	276	2942
86	280	2940
87	286	2969
88	289	2961
89	290	2941
90	292	2919
91	295	2918
92	297	2901
93	299	2885
94	300	2865
95	302	2846
96	303	2826
97	305	2807
98	306	2791
99	311	2804
100	312	2784
101	314	2765
102	318	2776
103	320	2762
104	326	2783
105	328	2772
106	329	2754
107	331	2738
108	332	2721
109	334	2709
110	336	2692
111	337	2675
112	343	2698
113	345	2685
114	346	2670
115	348	2656
116	349	2638
117	351	2625
118	352	2612
119	356	2616
120	359	2608
121	360	2591
122	414	2955
123	426	3011
124	428	2998
125	430	2984
126	432	2970
127	437	2983
128	441	2977
129	443	2969
130	445	2956
131	447	2943
132	449	2928
133	453	2927
134	455	2917
135	476	3024
136	477	3009
137	484	3023
138	486	3013
139	488	3000
140	490	2987
141	491	2971
142	494	2960
143	495	2947
144	500	2952
145	506	2961
146	511	2968
147	516	2973
148	518	2961
149	520	2947
150	530	2985
151	532	2972
152	534	2959
153	536	2948
154	538	2935
155	540	2922
156	541	2908
157	548	2921
158	549	2909
159	551	2896
160	552	2880
161	555	2871
162	557	2860
163	558	2848
164	561	2839
165	562	2826
166	564	2815
167	572	2833
168	604	2974
169	610	2982
170	612	2969
171	614	2956
172	615	2943
173	617	2933
174	620	2924
175	626	2934
176	628	2921
177	629	2908
178	631	2895
179	632	2882
180	655	2966
181	657	2954
182	661	2954
183	663	2943
184	665	2932
185	667	2919
186	669	2908
187	671	2898
188	672	2885
189	674	2873
190	675	2862
191	677	2850
192	678	2837
193	680	2825
194	682	2816
195	686	2816
196	688	2806
197	690	2795
198	691	2783
199	692	2771
200	694	2758
201	695	2748
202	697	2736
203	701	2737
204	702	2725
205	704	2714
206	705	2702
207	706	2691
208	707	2679
209	709	2667
210	710	2655
211	711	2644
212	712	2632
213	716	2632
214	718	2621
215	719	2611
216	720	2599
217	721	2588
218	722	2577
219	723	2566
220	725	2558
221	726	2547
222	728	2537
223	731	2532
224	732	2522
225	733	2511
226	734	2501
227	735	2490
228	736	2480
229	737	2470
230	739	2461
231	740	2451
232	741	2441
233	743	2432
234	745	2428
235	747	2418
236	748	2408
237	749	2398
238	750	2389
239	751	2379
240	752	2370
241	753	2360
242	754	2351
243	755	2342
244	757	2333
245	761	2332
246	762	2324
247	763	2315
248	764	2305
249	765	2296
250	766	2287
251	768	2280
252	769	2272
253	771	2264
254	772	2256
255	777	2258
256	779	2252
257	781	2246
258	782	2239
259	784	2232
260	792	2243
261	795	2240
262	797	2236
263	800	2231
264	802	2225
265	808	2232
266	810	2226
267	812	2220
268	814	2213
269	816	2207
270	817	2200
271	822	2201
272	823	2194
273	825	2187
274	826	2180
275	828	2173
276	830	2166
277	831	2159
278	833	2152
279	836	2151
280	838	2144
281	839	2137
282	841	2131
283	843	2125
284	844	2118
285	845	2111
286	847	2104
287	848	2097
288	852	2096
289	853	2089
290	854	2083
291	857	2078
292	859	2074
293	861	2068
294	863	2064
295	869	2068
